Composition,Load (N),Sliding distance(m),Observed wear,Observed wear(*10^-3),CoF,CoF(*10^-3)
0.0,10,1000,0.082,82,0.018,18
0.0,20,1000,0.246,246,0.021,21
0.0,30,1000,0.41,410,0.032,32
0.0,40,1000,0.47,470,0.0345,35
0.0,50,1000,0.529,529,0.037,37
0.0,10,2000,0.143,143,0.019,19
0.0,20,2000,0.287,287,0.023,23
0.0,30,2000,0.512,512,0.035,35
0.0,40,2000,0.584,584,0.0385,39
0.0,50,2000,0.656,656,0.042,42
0.0,10,3000,0.184,184,0.02,20
0.0,20,3000,0.369,369,0.023,23
0.0,30,3000,0.594,594,0.039,39
0.0,40,3000,0.697,697,0.0435,44
0.0,50,3000,0.799,799,0.048,48
0.0,10,4000,0.215,215,0.0205,21
0.0,20,4000,0.4,400,0.025,25
0.0,30,4000,0.646,646,0.04,40
0.0,40,4000,0.754,754,0.0445,45
0.0,50,4000,0.861,861,0.049,49
0.0,10,5000,0.246,246,0.021,21
0.0,20,5000,0.43,430,0.027,27
0.0,30,5000,0.697,697,0.041,41
0.0,40,5000,0.81,810,0.0455,46
0.0,50,5000,0.922,922,0.05,50
3.0,10,1000,0.064,64,0.012,12
3.0,20,1000,0.106,106,0.018,18
3.0,30,1000,0.149,149,0.027,27
3.0,40,1000,0.17,170,0.0285,29
3.0,50,1000,0.191,191,0.03,30
3.0,10,2000,0.064,64,0.016,16
3.0,20,2000,0.106,106,0.019,19
3.0,30,2000,0.17,170,0.028,28
3.0,40,2000,0.192,192,0.03,30
3.0,50,2000,0.213,213,0.032,32
3.0,10,3000,0.064,64,0.018,18
3.0,20,3000,0.128,128,0.02,20
3.0,30,3000,0.213,213,0.03,30
3.0,40,3000,0.234,234,0.034,34
3.0,50,3000,0.255,255,0.038,38
3.0,10,4000,0.085,85,0.019,19
3.0,20,4000,0.16,160,0.022,22
3.0,30,4000,0.234,234,0.031,31
3.0,40,4000,0.261,261,0.035,35
3.0,50,4000,0.287,287,0.039,39
3.0,10,5000,0.146,146,0.02,20
3.0,20,5000,0.231,231,0.023,23
3.0,30,5000,0.375,375,0.032,32
3.0,40,5000,0.457,457,0.0365,37
3.0,50,5000,0.559,559,0.041,41
4.5,10,1000,0.043,43,0.0105,11
4.5,20,1000,0.076,76,0.015,15
4.5,30,1000,0.12,120,0.024,24
4.5,40,1000,0.136,136,0.026,26
4.5,50,1000,0.153,153,0.029,29
4.5,10,2000,0.043,43,0.013,13
4.5,20,2000,0.076,76,0.0165,17
4.5,30,2000,0.13,130,0.025,25
4.5,40,2000,0.153,153,0.028,28
4.5,50,2000,0.175,175,0.032,32
4.5,10,3000,0.055,55,0.017,17
4.5,20,3000,0.109,109,0.018,18
4.5,30,3000,0.175,175,0.027,27
4.5,40,3000,0.191,191,0.032,32
4.5,50,3000,0.207,207,0.034,34
4.5,10,4000,0.077,77,0.018,18
4.5,20,4000,0.148,148,0.02,20
4.5,30,4000,0.203,203,0.029,29
4.5,40,4000,0.228,228,0.033,33
4.5,50,4000,0.252,252,0.036,36
4.5,10,5000,0.119,119,0.019,19
4.5,20,5000,0.201,201,0.021,21
4.5,30,5000,0.253,253,0.03,30
4.5,40,5000,0.363,363,0.035,35
4.5,50,5000,0.496,496,0.039,39
6.0,10,1000,0.023,23,0.009,9
6.0,20,1000,0.046,46,0.012,12
6.0,30,1000,0.091,91,0.021,21
6.0,40,1000,0.102,102,0.025,25
6.0,50,1000,0.114,114,0.027,27
6.0,10,2000,0.023,23,0.01,10
6.0,20,2000,0.046,46,0.014,14
6.0,30,2000,0.091,91,0.022,22
6.0,40,2000,0.113,113,0.025,25
6.0,50,2000,0.136,136,0.029,29
6.0,10,3000,0.046,46,0.015,15
6.0,20,3000,0.091,91,0.017,17
6.0,30,3000,0.136,136,0.024,24
6.0,40,3000,0.148,148,0.028,28
6.0,50,3000,0.159,159,0.03,30
6.0,10,4000,0.068,68,0.016,16
6.0,20,4000,0.136,136,0.018,18
6.0,30,4000,0.171,171,0.027,27
6.0,40,4000,0.194,194,0.03,30
6.0,50,4000,0.216,216,0.033,33
6.0,10,5000,0.091,91,0.018,18
6.0,20,5000,0.182,182,0.02,20
6.0,30,5000,0.215,215,0.029,29
6.0,40,5000,0.269,269,0.033,33
6.0,50,5000,0.373,373,0.037,37
9.0,10,1000,0.024,24,0.007,7
9.0,20,1000,0.047,47,0.01,10
9.0,30,1000,0.094,94,0.018,18
9.0,40,1000,0.106,106,0.0205,21
9.0,50,1000,0.118,118,0.023,23
9.0,10,2000,0.024,24,0.009,9
9.0,20,2000,0.047,47,0.011,11
9.0,30,2000,0.094,94,0.019,19
9.0,40,2000,0.106,106,0.022,22
9.0,50,2000,0.118,118,0.025,25
9.0,10,3000,0.047,47,0.014,14
9.0,20,3000,0.071,71,0.016,16
9.0,30,3000,0.118,118,0.022,22
9.0,40,3000,0.142,142,0.026,26
9.0,50,3000,0.165,165,0.028,28
9.0,10,4000,0.059,59,0.015,15
9.0,20,4000,0.106,106,0.017,17
9.0,30,4000,0.153,153,0.024,24
9.0,40,4000,0.183,183,0.026,26
9.0,50,4000,0.212,212,0.03,30
9.0,10,5000,0.071,71,0.017,17
9.0,20,5000,0.141,141,0.019,19
9.0,30,5000,0.188,188,0.026,26
9.0,40,5000,0.224,224,0.029,29
9.0,50,5000,0.239,239,0.032,32
